id,gender,age,income,became_member_on
269,M,43.0,71000.0,2017-04-13
270,M,58.0,39000.0,2018-07-17
271,M,43.0,76000.0,2017-08-06
272,F,56.0,87000.0,2017-03-29
273,F,69.0,118000.0,2017-10-16
274,O,60.0,94000.0,2018-02-16
275,M,81.0,70000.0,2016-06-01
276,M,42.0,91000.0,2017-04-03
277,M,75.0,71000.0,2015-01-10
278,M,62.0,73000.0,2018-01-27
279,F,55.0,54000.0,2016-05-05
280,M,65.0,39000.0,2017-10-11
281,M,52.0,46000.0,2017-02-27
282,F,30.0,40000.0,2017-10-15
283,F,74.0,75000.0,2015-09-24
284,F,100.0,63000.0,2015-08-28
285,F,26.0,40000.0,2017-03-24
286,F,56.0,53000.0,2016-03-28
287,M,50.0,90000.0,2014-10-15
288,M,73.0,95000.0,2017-10-08
289,F,49.0,74000.0,2017-12-10
290,M,37.0,50000.0,2016-01-09
291,M,65.0,57000.0,2016-02-12
292,F,64.0,81000.0,2016-02-25
293,F,48.0,53000.0,2016-10-14
294,M,20.0,32000.0,2015-08-12
295,,,,2018-02-05
296,M,46.0,40000.0,2018-07-23
297,M,24.0,69000.0,2015-04-27
298,M,71.0,95000.0,2015-08-26
299,F,50.0,78000.0,2018-05-25
300,M,37.0,92000.0,2017-05-15
301,F,57.0,81000.0,2016-05-22
302,,,,2017-09-20
303,M,52.0,85000.0,2014-04-25
304,M,41.0,41000.0,2016-08-24
305,F,66.0,74000.0,2017-06-18
306,F,66.0,87000.0,2015-10-01
307,F,68.0,120000.0,2017-10-25
308,M,20.0,70000.0,2016-03-08
309,M,43.0,42000.0,2017-07-04
310,M,73.0,38000.0,2017-12-12
311,,,,2018-04-06
312,F,42.0,56000.0,2017-05-29
313,M,82.0,110000.0,2016-06-04
314,,,,2018-04-18
315,F,70.0,92000.0,2017-11-09
316,F,42.0,71000.0,2017-10-10
317,M,48.0,62000.0,2015-09-03
318,F,53.0,93000.0,2015-09-10
319,M,64.0,67000.0,2018-03-04
320,M,79.0,90000.0,2018-01-23
321,M,51.0,55000.0,2016-05-11
322,F,45.0,88000.0,2018-01-20
323,F,48.0,105000.0,2016-06-02
324,,,,2015-08-17
325,F,54.0,119000.0,2015-10-24
326,M,52.0,48000.0,2018-07-10
327,M,28.0,68000.0,2013-09-24
328,M,69.0,47000.0,2014-05-02
329,M,73.0,92000.0,2017-06-27
330,,,,2017-08-21
331,F,67.0,71000.0,2017-08-13
332,F,76.0,34000.0,2018-06-13
333,F,55.0,53000.0,2015-11-21
334,F,89.0,83000.0,2018-06-23
335,,,,2017-02-01
336,M,57.0,41000.0,2018-04-29
337,,,,2016-07-21
338,F,54.0,70000.0,2018-02-11
339,,,,2015-08-11
340,M,58.0,73000.0,2017-12-27
341,,,,2017-08-15
342,M,49.0,39000.0,2017-11-23
343,F,73.0,79000.0,2018-05-07
344,F,58.0,76000.0,2017-02-19
345,M,51.0,70000.0,2017-12-14
346,M,74.0,78000.0,2016-04-18
347,M,53.0,95000.0,2015-09-06
348,M,61.0,32000.0,2018-02-27
349,,,,2017-09-12
350,M,41.0,55000.0,2017-10-24
351,F,64.0,95000.0,2017-10-08
352,,,,2016-05-16
353,,,,2017-09-28
354,M,42.0,75000.0,2017-09-08
355,M,50.0,57000.0,2016-04-26
356,M,60.0,56000.0,2017-09-03
357,F,57.0,83000.0,2016-04-08
358,F,39.0,54000.0,2017-04-07
359,,,,2017-09-03
360,F,57.0,67000.0,2016-08-27
361,M,57.0,71000.0,2017-12-16
362,M,68.0,51000.0,2016-03-18
363,F,83.0,114000.0,2015-09-10
364,F,35.0,72000.0,2018-01-02
365,F,90.0,72000.0,2018-01-01
366,M,56.0,72000.0,2018-04-04
367,,,,2018-01-14
368,M,84.0,81000.0,2017-09-07
369,M,62.0,39000.0,2018-03-12
370,M,63.0,58000.0,2017-02-23
371,,,,2017-12-07
372,M,67.0,56000.0,2016-01-05
373,F,68.0,50000.0,2017-11-26
374,M,55.0,73000.0,2017-05-08
375,,,,2018-06-08
376,,,,2017-10-14
377,F,24.0,59000.0,2017-02-07
378,M,40.0,39000.0,2017-08-15
379,M,83.0,61000.0,2018-01-18
380,,,,2016-01-04
381,,,,2016-06-18
382,F,63.0,41000.0,2017-03-16
383,F,59.0,59000.0,2018-01-16
384,O,49.0,42000.0,2017-12-07
385,F,61.0,99000.0,2016-06-12
386,M,42.0,57000.0,2018-06-13
387,M,58.0,36000.0,2018-01-29
388,F,48.0,44000.0,2016-10-21
389,M,35.0,64000.0,2017-08-29
390,M,36.0,31000.0,2018-03-15
391,F,41.0,100000.0,2016-04-14
392,F,83.0,73000.0,2017-04-30
393,M,53.0,87000.0,2017-10-15
394,,,,2015-09-10
395,F,53.0,97000.0,2016-01-15
396,F,80.0,48000.0,2018-01-10
397,M,25.0,66000.0,2015-11-16
398,M,63.0,119000.0,2015-11-04
399,F,63.0,66000.0,2016-06-14
400,F,56.0,109000.0,2018-01-23
401,M,43.0,59000.0,2017-10-04
402,F,58.0,58000.0,2016-03-14
403,M,59.0,59000.0,2017-01-23
404,M,49.0,104000.0,2018-03-18
405,F,63.0,70000.0,2017-09-12
406,M,42.0,94000.0,2015-12-10
407,F,52.0,57000.0,2018-01-17
408,F,57.0,37000.0,2018-04-08
409,F,56.0,59000.0,2017-11-09
410,M,80.0,87000.0,2017-10-15
411,M,43.0,52000.0,2016-02-11
412,M,54.0,70000.0,2017-11-14
413,M,28.0,73000.0,2016-11-11
414,F,57.0,95000.0,2017-10-08
415,M,71.0,67000.0,2015-03-10
416,,,,2017-10-29
417,F,64.0,112000.0,2018-04-18
418,M,20.0,49000.0,2014-05-31
419,,,,2015-08-22
420,,,,2015-08-27
421,F,36.0,58000.0,2017-04-23
422,F,45.0,99000.0,2016-10-04
423,M,71.0,65000.0,2014-12-17
424,M,67.0,89000.0,2018-06-01
425,F,72.0,81000.0,2016-09-22
426,M,51.0,100000.0,2018-05-12
427,,,,2017-04-19
428,M,48.0,68000.0,2017-09-19
429,M,53.0,60000.0,2018-04-10
430,M,25.0,53000.0,2018-02-15
431,F,79.0,85000.0,2018-01-10
432,M,19.0,32000.0,2018-06-24
433,F,28.0,49000.0,2018-04-11
434,M,56.0,76000.0,2014-06-11
435,M,44.0,37000.0,2014-03-19
436,M,25.0,40000.0,2017-12-25
437,F,61.0,78000.0,2018-01-13
438,M,34.0,59000.0,2017-09-22
439,F,41.0,37000.0,2017-12-10
440,M,44.0,51000.0,2016-12-04
441,F,51.0,92000.0,2018-06-29
442,M,47.0,44000.0,2017-11-09
443,F,63.0,70000.0,2018-07-07
444,M,62.0,61000.0,2017-11-26
445,M,66.0,71000.0,2018-07-03
446,M,62.0,70000.0,2017-12-08
447,M,83.0,88000.0,2016-04-10
448,M,43.0,58000.0,2018-06-27
449,F,66.0,94000.0,2016-12-04
450,M,70.0,44000.0,2017-11-18
451,F,65.0,66000.0,2018-01-12
452,F,33.0,54000.0,2016-11-06
453,M,63.0,78000.0,2018-07-26
454,M,77.0,42000.0,2017-08-01
455,F,49.0,57000.0,2017-10-16
456,M,53.0,104000.0,2017-01-23
457,F,61.0,87000.0,2016-02-28
458,M,60.0,38000.0,2015-12-15
459,,,,2015-10-28
460,F,44.0,60000.0,2017-09-18
461,M,69.0,62000.0,2015-06-22
462,M,39.0,71000.0,2018-05-24
463,F,38.0,55000.0,2015-03-26
464,F,83.0,99000.0,2017-12-23
465,F,63.0,94000.0,2016-01-24
466,F,41.0,41000.0,2015-10-15
467,M,54.0,39000.0,2017-11-12
468,,,,2018-02-14
469,M,41.0,55000.0,2018-01-26
470,,,,2016-06-23
471,,,,2017-09-03
472,F,56.0,69000.0,2017-09-22
473,,,,2017-03-28
474,M,50.0,98000.0,2018-01-18
475,M,58.0,55000.0,2015-11-23
476,M,39.0,61000.0,2017-04-25
477,F,60.0,55000.0,2017-09-26
478,F,60.0,74000.0,2016-09-06
479,M,24.0,38000.0,2018-07-03
480,M,48.0,57000.0,2016-11-30
481,M,50.0,110000.0,2018-03-26
482,F,41.0,67000.0,2017-07-30
483,M,45.0,84000.0,2015-05-04
484,M,48.0,93000.0,2016-07-09
485,M,59.0,87000.0,2018-02-01
486,M,43.0,45000.0,2018-04-23
487,F,56.0,67000.0,2017-10-21
488,M,54.0,93000.0,2016-12-06
489,F,48.0,47000.0,2018-07-22
490,,,,2018-02-18
491,,,,2015-08-16
492,,,,2017-02-05
493,M,63.0,49000.0,2017-12-26
494,,,,2015-09-30
495,M,47.0,35000.0,2017-12-02
496,M,52.0,56000.0,2016-08-30
497,F,58.0,78000.0,2016-09-05
498,M,78.0,39000.0,2015-05-09
499,M,43.0,40000.0,2014-07-01
500,M,68.0,61000.0,2017-08-06
501,M,18.0,48000.0,2015-05-03
502,F,39.0,85000.0,2016-09-19
503,M,74.0,99000.0,2018-07-21
504,F,53.0,98000.0,2017-01-19
505,F,61.0,67000.0,2015-09-23
506,M,23.0,54000.0,2018-04-28
507,M,46.0,55000.0,2017-11-09
508,M,51.0,78000.0,2017-08-27
509,M,77.0,86000.0,2018-04-07
510,F,79.0,91000.0,2017-10-26
511,M,41.0,41000.0,2015-05-14
512,F,60.0,78000.0,2016-02-17
513,F,54.0,47000.0,2017-11-23
514,O,63.0,89000.0,2015-09-20
515,M,73.0,76000.0,2018-04-14
516,M,47.0,77000.0,2018-02-11
517,M,84.0,82000.0,2016-04-01
518,,,,2018-04-22
519,M,20.0,56000.0,2017-09-01
520,F,24.0,35000.0,2015-01-18
521,F,58.0,71000.0,2017-03-10
522,M,35.0,40000.0,2017-09-28
523,,,,2017-07-31
524,M,57.0,33000.0,2017-08-06
525,M,87.0,55000.0,2015-04-10
526,F,86.0,84000.0,2015-05-06
527,F,57.0,100000.0,2018-01-17
528,M,61.0,112000.0,2017-10-22
529,M,25.0,53000.0,2017-10-21
530,M,38.0,31000.0,2015-05-13
531,M,94.0,50000.0,2014-11-28
532,M,59.0,61000.0,2015-12-12
533,F,49.0,73000.0,2017-12-31
534,F,61.0,72000.0,2016-06-14
535,,,,2017-05-01
536,M,31.0,64000.0,2017-11-01
537,F,75.0,53000.0,2017-11-02
538,,,,2017-12-19
539,,,,2015-08-09
540,M,51.0,65000.0,2018-04-05
541,M,68.0,74000.0,2017-12-01
542,M,86.0,71000.0,2018-05-24
543,F,62.0,117000.0,2018-07-07
544,M,61.0,64000.0,2018-06-27
545,,,,2018-07-22
546,F,63.0,57000.0,2018-06-27
547,F,26.0,52000.0,2017-12-04
548,F,50.0,77000.0,2015-11-02
549,,,,2017-09-02
550,F,45.0,93000.0,2017-06-25
551,F,88.0,64000.0,2016-02-14
552,F,50.0,92000.0,2017-09-08
553,F,65.0,119000.0,2017-09-09
554,,,,2015-07-29
555,M,55.0,76000.0,2017-07-17
556,M,71.0,95000.0,2016-04-06
557,F,34.0,46000.0,2015-09-25
558,M,81.0,65000.0,2017-08-25
559,,,,2018-06-07
560,F,65.0,98000.0,2013-08-22
561,,,,2016-06-05
562,,,,2016-09-22
563,F,63.0,62000.0,2018-03-26
564,M,73.0,58000.0,2016-05-27
565,F,84.0,77000.0,2018-01-25
566,,,,2017-08-28
567,F,55.0,62000.0,2018-06-13
568,M,63.0,70000.0,2017-09-24
569,F,24.0,51000.0,2018-04-16
570,M,36.0,74000.0,2013-07-30
571,M,56.0,69000.0,2016-06-07
572,F,65.0,119000.0,2017-05-02
573,M,75.0,75000.0,2018-06-23
574,M,71.0,114000.0,2016-07-20
575,M,71.0,118000.0,2017-12-24
576,M,61.0,39000.0,2017-04-25
577,O,73.0,88000.0,2018-03-16
578,M,19.0,73000.0,2018-03-21
579,F,64.0,34000.0,2017-07-24
580,F,66.0,112000.0,2017-10-20
581,M,37.0,59000.0,2018-02-24
582,M,22.0,49000.0,2016-12-20
583,F,54.0,96000.0,2018-07-19
584,M,62.0,73000.0,2018-01-05
585,F,50.0,75000.0,2018-01-06
586,F,80.0,87000.0,2017-07-26
587,M,55.0,112000.0,2015-09-23
588,M,40.0,50000.0,2017-03-03
589,M,43.0,52000.0,2015-12-18
590,M,61.0,53000.0,2017-02-05
591,F,32.0,43000.0,2017-05-31
592,,,,2015-09-28
593,F,68.0,32000.0,2017-09-03
594,F,66.0,104000.0,2017-08-21
595,M,36.0,35000.0,2017-12-26
596,M,38.0,60000.0,2017-10-19
597,F,80.0,54000.0,2015-07-28
598,F,82.0,68000.0,2018-01-23
599,M,45.0,74000.0,2015-10-27
600,M,89.0,63000.0,2017-10-26
601,F,45.0,94000.0,2017-12-07
602,M,59.0,35000.0,2018-04-05
603,M,22.0,44000.0,2018-03-22
604,F,67.0,50000.0,2017-07-14
605,F,30.0,41000.0,2016-12-05
606,,,,2017-04-15
607,M,56.0,88000.0,2018-04-02
608,F,53.0,100000.0,2016-01-14
609,,,,2015-08-23
610,,,,2015-12-10
611,M,32.0,58000.0,2016-10-28
612,F,51.0,73000.0,2016-02-23
613,F,38.0,66000.0,2017-12-25
614,F,52.0,45000.0,2014-01-13
615,,,,2016-10-08
616,M,55.0,68000.0,2016-09-08
617,M,81.0,41000.0,2017-10-09
618,M,55.0,78000.0,2017-11-03
619,F,51.0,67000.0,2014-02-02
620,,,,2016-04-29
621,F,71.0,74000.0,2015-09-04
622,M,45.0,84000.0,2016-03-03
623,,,,2016-08-02
624,,,,2016-03-05
625,M,49.0,71000.0,2015-10-16
626,M,62.0,48000.0,2017-09-20
627,F,65.0,99000.0,2015-10-16
628,,,,2018-02-03
629,F,50.0,63000.0,2018-01-09
630,F,20.0,60000.0,2018-02-03
631,F,49.0,31000.0,2018-04-30
632,M,55.0,83000.0,2017-09-24
633,M,58.0,54000.0,2014-10-24
634,,,,2016-06-07
635,F,95.0,64000.0,2017-09-13
636,F,83.0,99000.0,2018-01-12
637,F,56.0,70000.0,2016-02-14
638,M,66.0,54000.0,2017-05-23
639,M,87.0,74000.0,2017-08-08
640,,,,2016-08-24
641,M,55.0,89000.0,2016-08-26
642,F,52.0,114000.0,2017-08-01
643,F,59.0,83000.0,2016-12-26
644,F,59.0,51000.0,2016-05-15
645,F,49.0,74000.0,2017-11-28
646,F,62.0,46000.0,2014-04-04
647,F,56.0,80000.0,2015-08-26
648,F,51.0,97000.0,2017-04-01
649,F,47.0,62000.0,2014-06-08
650,M,38.0,96000.0,2016-04-13
651,M,43.0,44000.0,2018-07-09
652,M,43.0,72000.0,2016-10-21
653,M,49.0,84000.0,2015-11-06
654,F,36.0,57000.0,2017-09-25
655,F,45.0,58000.0,2016-11-24
656,,,,2018-03-31
657,M,53.0,95000.0,2018-06-09
658,M,43.0,60000.0,2017-08-06
659,,,,2018-03-26
660,F,18.0,67000.0,2017-06-19
661,M,40.0,41000.0,2016-06-02
662,F,83.0,114000.0,2017-03-21
663,M,49.0,65000.0,2018-01-23
664,F,51.0,106000.0,2017-03-23
665,M,25.0,55000.0,2018-03-29
666,M,71.0,55000.0,2018-01-05
667,M,58.0,71000.0,2017-09-17
668,M,53.0,36000.0,2014-07-12
669,F,83.0,93000.0,2017-06-15
670,M,46.0,56000.0,2016-03-15
671,F,69.0,97000.0,2017-02-25
672,M,51.0,73000.0,2017-08-02
673,M,61.0,68000.0,2018-02-24
674,F,81.0,101000.0,2017-08-04
675,M,60.0,41000.0,2018-02-02
676,M,48.0,75000.0,2015-09-10
677,F,48.0,87000.0,2015-09-23
678,M,73.0,63000.0,2014-01-24
679,F,41.0,89000.0,2018-02-11
680,F,39.0,77000.0,2016-04-02
681,M,31.0,56000.0,2017-10-08
682,M,38.0,61000.0,2017-12-15
683,F,46.0,36000.0,2017-09-11
684,M,87.0,72000.0,2014-11-13
685,F,53.0,83000.0,2015-12-14
686,,,,2018-06-15
687,F,93.0,48000.0,2013-10-25
688,M,42.0,41000.0,2015-08-25
689,M,54.0,79000.0,2015-10-26
690,M,47.0,53000.0,2018-07-26
691,M,75.0,109000.0,2017-12-03
692,F,79.0,61000.0,2018-04-10
693,F,36.0,64000.0,2017-10-10
694,M,30.0,43000.0,2017-04-09
695,M,34.0,50000.0,2013-11-16
696,F,39.0,78000.0,2016-01-19
697,F,52.0,87000.0,2016-05-23
698,M,43.0,34000.0,2016-04-16
699,M,75.0,38000.0,2018-06-24
700,M,47.0,40000.0,2017-09-17
701,F,60.0,117000.0,2018-04-20
702,M,31.0,43000.0,2018-01-23
703,M,70.0,35000.0,2018-03-04
704,F,49.0,36000.0,2018-01-09
705,M,48.0,56000.0,2017-08-16
706,M,37.0,36000.0,2017-12-19
707,,,,2017-03-29
708,F,67.0,67000.0,2015-09-29
709,M,48.0,65000.0,2015-07-19
710,M,69.0,38000.0,2015-09-20
711,M,66.0,32000.0,2017-12-19
712,M,38.0,56000.0,2017-09-12
713,F,59.0,90000.0,2017-08-16
714,M,43.0,65000.0,2018-04-10
715,M,43.0,41000.0,2014-01-28
716,F,68.0,108000.0,2017-04-21
717,M,60.0,45000.0,2018-04-24
718,M,53.0,39000.0,2015-09-25
719,M,34.0,50000.0,2018-02-16
720,M,77.0,64000.0,2018-03-22
721,F,88.0,73000.0,2017-05-11
722,,,,2016-03-20
723,F,62.0,88000.0,2018-06-25
724,M,63.0,86000.0,2014-07-31
725,M,70.0,99000.0,2017-11-12
726,M,38.0,33000.0,2018-04-03
727,F,44.0,39000.0,2018-02-17
728,F,40.0,50000.0,2018-03-06
729,M,51.0,99000.0,2018-03-28
730,,,,2016-10-25
731,F,72.0,60000.0,2013-08-14
732,M,22.0,45000.0,2017-09-04
733,,,,2016-02-27
734,M,72.0,49000.0,2017-08-19
735,M,70.0,37000.0,2017-09-03
736,,,,2017-08-11
737,M,23.0,65000.0,2014-07-19
738,M,38.0,75000.0,2018-07-18
739,F,71.0,67000.0,2015-10-17
740,M,50.0,51000.0,2013-09-27
